empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
empty,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,empty
empty,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,empty
empty,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,empty
empty,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,empty
empty,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,empty
empty,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,empty
empty,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,empty
empty,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,empty
empty,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,empty
empty,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,empty
empty,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,empty
empty,white,wood2,white,white,white,white,white,white,white,white,white,wood2,white,empty
empty,white,white,white,white,white,white,white,white,white,white,white,white,white,empty
empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
